150, Bernhard Eisel, Htc – Highroad, at 08:11
151, Matteo Tosatto, Saxo Bank Sungard, at 08:16
152, Pablo Urtasun Perez, Euskaltel – Euskadi, at 08:19
153, Mark Renshaw, Htc – Highroad, at 08:26
154, Brian Vandborg, Saxo Bank Sungard, at 08:27
155, Matteo Bono, Lampre – Isd, at 08:32
156, Mark Cavendish, Htc – Highroad, at 08:35
157, Jens Voigt, Team Leopard-Trek, at 08:37
158, Alessandro Vanotti, Liquigas-Cannondale, at 08:44
159, Dmitriy Fofonov, Pro Team Astana, at 08:46
160, Denys Kostyuk, Lampre – Isd, at 09:03
161, Mickaël Buffaz, Cofidis Le Credit En Ligne, at 09:17
162, Benjamin Noval Gonzalez, Saxo Bank Sungard, at 09:27
163, Maxim Iglinskiy, Pro Team Astana, at 09:44
164, Borut Bozic, Vacansoleil-Dcm, at 09:45
165, Leonardo Duque, Cofidis Le Credit En Ligne, at 09:48
166, Niki Terpstra, Quick Step Cycling Team, at 10:38
167, Jeremie Galland, Saur-Sojasun, at 11:19
